>> myRootFailedAt(:,[3:4,6])
ans =
                  number              root               row in sideByside
                 32768                600018                   737
                 32768                600019                   738
                 32768                600020                   739
                 32768                600021                   740
                 32768                700002                   741
                 32768                700003                   742
                 32768                700004                   743
                 32768                700005                   744
                 32768                700006                   745
                 32768                700007                   746
                 32768                700008                   747
                 32768                700009                   748
                 32768                700010                   749
                 32768                700011                   750
                 32768                700012                   751
                 32768                700013                   752
                 32768                700014                   753
                 32768                700015                   754
                 32768                700016                   755
                 32768                700017                   756
                 32768                700018                   757
                 32768                700019                   758
                 32768                700020                   759
                 32768                700021                   760
                 32768                800002                   761
                 32768                800003                   762
                 32768                800004                   763
                 32768                800005                   764
                 32768                800006                   765
                 32768                800007                   766
                 32768                800008                   767
                 32768                800009                   768
                 32768                800010                   769
                 32768                800011                   770
                 32768                800012                   771
                 32768                800013                   772
                 32768                800014                   773
                 32768                800015                   774
                 32768                800016                   775
                 32768                800017                   776
                 32768                800018                   777
                 32768                800019                   778
                 32768                800020                   779
                 32768                800021                   780
                 32768                900002                   781
                 32768                900003                   782
                 32768                900004                   783
                 32768                900005                   784
                 32768                900006                   785
                 32768                900007                   786
                 32768                900008                   787
                 32768                900009                   788
                 32768                900010                   789
                 32768                900011                   790
                 32768                900012                   791
                 32768                900013                   792
                 32768                900014                   793
                 32768                900015                   794
                 32768                900016                   795
                 32768                900017                   796
                 32768                900018                   797
                 32768                900019                   798
                 32768                900020                   799
                 32768                900021                   800
            2147483648                     7                   806
            2147483648                     8                   807
            2147483648                     9                   808
            2147483648                    10                   809
            2147483648                    11                   810
            2147483648                    12                   811
            2147483648                    13                   812
            2147483648                    14                   813
            2147483648                    15                   814
            2147483648                    16                   815
            2147483648                    17                   816
            2147483648                    18                   817
            2147483648                    19                   818
            2147483648                    20                   819
            2147483648                    21                   820
            2147483648                100002                   821
            2147483648                100003                   822
            2147483648                100004                   823
            2147483648                100005                   824
            2147483648                100006                   825
            2147483648                100007                   826
            2147483648                100008                   827
            2147483648                100009                   828
            2147483648                100010                   829
            2147483648                100011                   830
            2147483648                100012                   831
            2147483648                100013                   832
            2147483648                100014                   833
            2147483648                100015                   834
            2147483648                100016                   835
            2147483648                100017                   836
            2147483648                100018                   837
            2147483648                100019                   838
            2147483648                100020                   839
            2147483648                100021                   840
            2147483648                200002                   841
            2147483648                200003                   842
            2147483648                200004                   843
            2147483648                200005                   844
            2147483648                200006                   845
            2147483648                200007                   846
            2147483648                200008                   847
            2147483648                200009                   848
            2147483648                200010                   849
            2147483648                200011                   850
            2147483648                200012                   851
            2147483648                200013                   852
            2147483648                200014                   853
            2147483648                200015                   854
            2147483648                200016                   855
            2147483648                200017                   856
            2147483648                200018                   857
            2147483648                200019                   858
            2147483648                200020                   859
            2147483648                200021                   860
            2147483648                300002                   861
            2147483648                300003                   862
            2147483648                300004                   863
            2147483648                300005                   864
            2147483648                300006                   865
            2147483648                300007                   866
            2147483648                300008                   867
            2147483648                300009                   868
            2147483648                300010                   869
            2147483648                300011                   870
            2147483648                300012                   871
            2147483648                300013                   872
            2147483648                300014                   873
            2147483648                300015                   874
            2147483648                300016                   875
            2147483648                300017                   876
            2147483648                300018                   877
            2147483648                300019                   878
            2147483648                300020                   879
            2147483648                300021                   880
            2147483648                400002                   881
            2147483648                400003                   882
            2147483648                400004                   883
            2147483648                400005                   884
            2147483648                400006                   885
            2147483648                400007                   886
            2147483648                400008                   887
            2147483648                400009                   888
            2147483648                400010                   889
            2147483648                400011                   890
            2147483648                400012                   891
            2147483648                400013                   892
            2147483648                400014                   893
            2147483648                400015                   894
            2147483648                400016                   895
            2147483648                400017                   896
            2147483648                400018                   897
            2147483648                400019                   898
            2147483648                400020                   899
            2147483648                400021                   900
            2147483648                500002                   901
            2147483648                500003                   902
            2147483648                500004                   903
            2147483648                500005                   904
            2147483648                500006                   905
            2147483648                500007                   906
            2147483648                500008                   907
            2147483648                500009                   908
            2147483648                500010                   909
            2147483648                500011                   910
            2147483648                500012                   911
            2147483648                500013                   912
            2147483648                500014                   913
            2147483648                500015                   914
            2147483648                500016                   915
            2147483648                500017                   916
            2147483648                500018                   917
            2147483648                500019                   918
            2147483648                500020                   919
            2147483648                500021                   920
            2147483648                600002                   921
            2147483648                600003                   922
            2147483648                600004                   923
            2147483648                600005                   924
            2147483648                600006                   925
            2147483648                600007                   926
            2147483648                600008                   927
            2147483648                600009                   928
            2147483648                600010                   929
            2147483648                600011                   930
            2147483648                600012                   931
            2147483648                600013                   932
            2147483648                600014                   933
            2147483648                600015                   934
            2147483648                600016                   935
            2147483648                600017                   936
            2147483648                600018                   937
            2147483648                600019                   938
            2147483648                600020                   939
            2147483648                600021                   940
            2147483648                700002                   941
            2147483648                700003                   942
            2147483648                700004                   943
            2147483648                700005                   944
            2147483648                700006                   945
            2147483648                700007                   946
            2147483648                700008                   947
            2147483648                700009                   948
            2147483648                700010                   949
            2147483648                700011                   950
            2147483648                700012                   951
            2147483648                700013                   952
            2147483648                700014                   953
            2147483648                700015                   954
            2147483648                700016                   955
            2147483648                700017                   956
            2147483648                700018                   957
            2147483648                700019                   958
            2147483648                700020                   959
            2147483648                700021                   960
            2147483648                800002                   961
            2147483648                800003                   962
            2147483648                800004                   963
            2147483648                800005                   964
            2147483648                800006                   965
            2147483648                800007                   966
            2147483648                800008                   967
            2147483648                800009                   968
            2147483648                800010                   969
            2147483648                800011                   970
            2147483648                800012                   971
            2147483648                800013                   972
            2147483648                800014                   973
            2147483648                800015                   974
            2147483648                800016                   975
            2147483648                800017                   976
            2147483648                800018                   977
            2147483648                800019                   978
            2147483648                800020                   979
            2147483648                800021                   980
            2147483648                900002                   981
            2147483648                900003                   982
            2147483648                900004                   983
            2147483648                900005                   984
            2147483648                900006                   985
            2147483648                900007                   986
            2147483648                900008                   987
            2147483648                900009                   988
            2147483648                900010                   989
            2147483648                900011                   990
            2147483648                900012                   991
            2147483648                900013                   992
            2147483648                900014                   993
            2147483648                900015                   994
            2147483648                900016                   995
            2147483648                900017                   996
            2147483648                900018                   997
            2147483648                900019                   998
            2147483648                900020                   999
            2147483648                900021                  1000
   9223372036854775808                     4                  1003
   9223372036854775808                     5                  1004
   9223372036854775808                     6                  1005
   9223372036854775808                     7                  1006
   9223372036854775808                     8                  1007
   9223372036854775808                     9                  1008
   9223372036854775808                    10                  1009
   9223372036854775808                    11                  1010
   9223372036854775808                    12                  1011
   9223372036854775808                    13                  1012
   9223372036854775808                    14                  1013
